Id,bikes
1,2.0
2,1.0
3,2.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,2.0
10,2.0
11,2.0
12,3.0
13,1.0
14,1.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,1.0
23,1.0
24,2.0
25,1.0
26,1.0
27,1.0
28,2.0
29,2.0
30,2.0
31,1.0
32,1.0
33,1.0
34,1.0
35,2.0
36,1.0
37,1.0
38,1.0
39,1.0
40,0.0
41,2.0
42,1.0
43,0.0
44,1.0
45,1.0
46,1.0
47,2.0
48,2.0
49,2.0
50,1.0
51,2.0
52,1.0
53,2.0
54,1.0
55,2.0
56,1.0
57,2.0
58,2.0
59,1.0
60,1.0
61,1.0
62,2.0
63,0.0
64,1.0
65,0.0
66,2.0
67,2.0
68,2.0
69,1.0
70,2.0
71,1.0
72,2.0
73,2.0
74,1.0
75,1.0
76,1.0
77,1.0
78,2.0
79,2.0
80,2.0
81,2.0
82,0.0
83,1.0
84,0.0
85,1.0
86,1.0
87,2.0
88,1.0
89,1.0
90,2.0
91,1.0
92,1.0
93,2.0
94,2.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,2.0
102,2.0
103,2.0
104,1.0
105,2.0
106,2.0
107,2.0
108,2.0
109,2.0
110,1.0
111,1.0
112,1.0
113,1.0
114,2.0
115,2.0
116,1.0
117,1.0
118,2.0
119,2.0
120,2.0
121,1.0
122,1.0
123,1.0
124,2.0
125,1.0
126,1.0
127,2.0
128,1.0
129,1.0
130,0.0
131,1.0
132,2.0
133,1.0
134,2.0
135,2.0
136,2.0
137,1.0
138,1.0
139,1.0
140,1.0
141,2.0
142,1.0
143,1.0
144,1.0
145,2.0
146,1.0
147,0.0
148,1.0
149,1.0
150,2.0
151,2.0
152,1.0
153,1.0
154,1.0
155,2.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,2.0
162,2.0
163,2.0
164,2.0
165,2.0
166,1.0
167,2.0
168,2.0
169,1.0
170,2.0
171,1.0
172,2.0
173,1.0
174,2.0
175,2.0
176,2.0
177,2.0
178,1.0
179,2.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,2.0
192,2.0
193,1.0
194,2.0
195,1.0
196,2.0
197,2.0
198,1.0
199,2.0
200,1.0
201,2.0
202,1.0
203,2.0
204,1.0
205,2.0
206,1.0
207,2.0
208,1.0
209,2.0
210,2.0
211,1.0
212,1.0
213,2.0
214,1.0
215,2.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,2.0
224,2.0
225,1.0
226,1.0
227,2.0
228,2.0
229,1.0
230,1.0
231,1.0
232,1.0
233,2.0
234,2.0
235,2.0
236,2.0
